demand_elec.fix,demand_heat.fix,elec_net_dyn.emission_factor,elec_net_dyn.variable_costs,t_wp_A_W70.eff_out_1,t_wp_A_W70.max,pv.fix
89.54811064,991.0160872,0.24,0.15,2.508,0.298693503,0
110.424481,1049.745652,0.254,0.15,2.56,0.317973164,0.000744039
121.8379164,1006.876261,0.23,0.15,2.56,0.317973164,0.01190828
131.017209,986.8347509,0.217,0.15,2.604,0.334286723,0.025584223
123.1212647,947.511575,0.218,0.15,2.588,0.32835452,0.032847753
104.0669717,929.494638,0.219,0.15,2.6,0.332803672,0.03629698
101.7449158,924.1592878,0.22,0.15,2.62,0.340218927,0.029292493
103.641881,917.2704677,0.243,0.15,2.552,0.315007062,0.025816698
106.3200146,910.3501593,0.281,0.15,2.56,0.317973164,0.006217656
108.5780877,877.4120295,0.284,0.15,2.588,0.32835452,0
110.1718123,864.4656747,0.278,0.15,2.576,0.323905367,0
130.326889,809.08322,0.26,0.15,2.588,0.32835452,0
117.2983577,772.2901898,0.265,0.15,2.576,0.323905367,0
113.9575561,786.7106821,0.282,0.15,2.576,0.323905367,0
117.6645742,850.8748083,0.297,0.15,2.552,0.315007062,0
105.1108839,860.2961416,0.309,0.15,2.536,0.309074859,0
81.86603454,886.3139477,0.327,0.15,2.52,0.303142655,0
67.20829257,909.9390068,0.349,0.15,2.508,0.298693503,0
59.92899854,928.0955696,0.369,0.15,2.516,0.301659605,0
54.06770589,938.3726885,0.367,0.15,2.47,0.296875,0
53.47605976,949.351264,0.368,0.15,2.504,0.297210452,0
61.27360105,968.8436422,0.381,0.15,2.44,0.298022599,0
70.1354746,1001.362796,0.38,0.15,2.2,0.30720339,0
87.57451075,991.3722034,0.375,0.15,2.26,0.304908192,0
130.5149541,1001.623036,0.372,0.15,2.14,0.309498588,0
241.0095535,1022.441902,0.356,0.15,2.11,0.310646186,0.001478686
296.3018971,1028.185446,0.318,0.15,2.35,0.301465395,0.024561741
295.1886619,1026.970087,0.293,0.15,2.47,0.296875,0.06405702
285.9192606,1020.355537,0.281,0.15,2.524,0.304625706,0.065025225
267.0793786,999.8062122,0.272,0.15,2.536,0.309074859,0.064254303
222.7227204,957.1661212,0.276,0.15,2.564,0.319456215,0.047506094
193.4317355,902.0158377,0.298,0.15,2.588,0.32835452,0.044569977
201.8170863,865.8515076,0.313,0.15,2.608,0.335769774,0.0154616
200.8792375,823.3533051,0.349,0.15,2.596,0.331320621,0
173.3171767,787.9814375,0.324,0.15,2.604,0.334286723,0
141.6655747,760.5668565,0.336,0.15,2.588,0.32835452,0
140.3481792,739.3662124,0.344,0.15,2.588,0.32835452,0
142.3695728,729.4117921,0.327,0.15,2.588,0.32835452,0
140.1058743,756.7073428,0.338,0.15,2.588,0.32835452,0
120.1124244,793.6992489,0.362,0.15,2.604,0.334286723,0
89.89251484,836.2949924,0.39,0.15,2.624,0.341701977,0
65.27687533,829.2520428,0.389,0.15,2.636,0.34615113,0
59.73751724,830.1562441,0.405,0.15,2.62,0.340218927,0
53.86712099,825.0268307,0.411,0.15,2.632,0.344668079,0
53.47605976,827.162512,0.4,0.15,2.624,0.341701977,0
61.27360105,839.229818,0.381,0.15,2.612,0.337252825,0
70.1354746,864.6153405,0.366,0.15,2.588,0.32835452,0
87.57451075,845.7832035,0.386,0.15,2.6,0.332803672,0
130.5149541,843.7976413,0.385,0.15,2.608,0.335769774,0
241.0095535,854.2491547,0.368,0.15,2.624,0.341701977,0.001460729
296.3018971,860.4715171,0.336,0.15,2.62,0.340218927,0.01814592
295.1886619,868.528195,0.319,0.15,2.62,0.340218927,0.028947784
285.9192606,872.7929681,0.312,0.15,2.648,0.350600282,0.035894437
267.0793786,861.6535146,0.305,0.15,2.632,0.344668079,0.052320956
222.7227204,822.5665945,0.293,0.15,2.652,0.352083333,0.047474346
193.4317355,764.9152085,0.329,0.15,2.68,0.362464689,0.114906852
201.8170863,727.0393469,0.343,0.15,2.66,0.355049435,0.120785657
200.8792375,686.4247624,0.36,0.15,2.684,0.36394774,0
173.3171767,661.2467813,0.325,0.15,2.648,0.350600282,0
141.6655747,647.0013319,0.324,0.15,2.628,0.343185028,0
140.3481792,635.7255677,0.331,0.15,2.632,0.344668079,0
142.3695728,629.4407195,0.349,0.15,2.648,0.350600282,0
140.1058743,658.5484052,0.356,0.15,2.648,0.350600282,0
120.1124244,699.4826976,0.368,0.15,2.648,0.350600282,0
89.89251484,748.9971776,0.325,0.15,2.66,0.355049435,0
65.27687533,751.5903564,0.322,0.15,2.64,0.347634181,0
59.73751724,761.4492228,0.333,0.15,2.636,0.34615113,0
53.86712099,766.6831078,0.336,0.15,2.624,0.341701977,0
53.47605976,777.6561898,0.336,0.15,2.604,0.334286723,0
61.27360105,792.4546871,0.334,0.15,2.616,0.338735876,0
70.1354746,816.8518869,0.332,0.15,2.612,0.337252825,0
87.57451075,800.6377898,0.353,0.15,2.596,0.331320621,0
130.5149541,806.0342222,0.37,0.15,2.604,0.334286723,0
241.0095535,829.4495293,0.339,0.15,2.584,0.326871469,0.000723057
296.3018971,848.4855448,0.325,0.15,2.576,0.323905367,0.01013499
295.1886619,866.519631,0.317,0.15,2.58,0.325388418,0.025893363
285.9192606,878.4753567,0.313,0.15,2.588,0.32835452,0.043081222
267.0793786,874.9517022,0.312,0.15,2.596,0.331320621,0.037329044
222.7227204,851.8456699,0.307,0.15,2.596,0.331320621,0.025702585
193.4317355,818.7516942,0.329,0.15,2.588,0.32835452,0.017826619
201.8170863,800.3110405,0.344,0.15,2.592,0.329837571,0.008017241
200.8792375,767.5302457,0.337,0.15,2.596,0.331320621,0
173.3171767,736.2727424,0.32,0.15,2.592,0.329837571,0
141.6655747,708.3851784,0.318,0.15,2.596,0.331320621,0
140.3481792,685.4514844,0.329,0.15,2.604,0.334286723,0
142.3695728,674.9152264,0.345,0.15,2.604,0.334286723,0
140.3143537,704.2893205,0.38,0.15,2.6,0.332803672,0
122.2234104,747.0897033,0.36,0.15,2.608,0.335769774,0
98.89103656,804.3539869,0.339,0.15,2.612,0.337252825,0
78.78558787,825.6309489,0.327,0.15,2.548,0.313524011,0
75.26791157,864.9206396,0.333,0.15,2.41,0.299170198,0
68.12550063,901.1772438,0.325,0.15,1.99,0.315236582,0
65.53073645,931.6402021,0.304,0.15,1.87,0.319826977,0
72.09053635,956.0922621,0.292,0.15,1.84,0.320974576,0
85.96977703,989.5031144,0.271,0.15,1.63,0.329007768,0
103.2357832,1033.285593,0.252,0.15,1.57,0.331302966,0
