weather.temperature,direkt_horizontal_W_m2,diffuse_horizontal_W_m2,global_horizontal_W_m2
-1.8,0,0,0
-2.6,0,0,0
-3,0,0,0
-3.1,0,0,0
-3.2,0,0,0
-3,0,0,0
-3.1,0,0,0
-3.1,0,0,0
-3,0,0,0
-2.8,0,0,0
-2.4,0,0,0
-2.1,0,8,8
-1.7,11,70,81
-1.4,18,133,151
-1,35,191,226
-0.4,3,155,158
-0.4,0,64,64
-0.3,1,128,129
-0.3,0,88,88
-0.2,0,40,40
0,0,13,13
0.1,0,2,2
0.1,0,0,0
0.2,0,0,0
0.5,0,0,0
0.8,0,0,0
0.8,0,0,0
0.8,0,0,0
1.3,0,0,0
1.4,0,0,0
1.7,0,0,0
1.9,0,0,0
1.9,0,0,0
2.5,0,0,0
2.6,0,0,0
3,0,10,10
3.3,8,67,75
3.8,20,138,158
4.3,11,163,174
4.4,19,207,226
4.6,6,173,179
4.8,0,77,77
5.3,23,181,204
5,2,95,97
3.8,0,43,43
4.6,0,2,2
4.6,0,0,0
4.7,0,0,0
4.5,0,0,0
4.1,0,0,0
3.8,0,0,0
3.1,0,0,0
2.9,0,0,0
3.2,0,0,0
2.8,0,0,0
3,0,0,0
3,0,0,0
3.2,0,0,0
3.3,0,0,0
3.7,2,14,16
3.7,11,64,75
4.3,59,143,202
4.3,79,195,274
4.5,1,136,137
4.8,0,91,91
5.1,0,86,86
4.9,2,119,121
5.1,3,92,95
5.6,20,72,92
4.4,0,1,1
3.7,0,0,0
3,0,0,0
3.1,0,0,0
3.1,0,0,0
2.8,0,0,0
